,word,frequency
208,thank,199
7,great,197
2,trump,114
10,u,113
84,people,107
203,join,100
85,make,87
32,time,86
1028,debate,81
101,going,74
149,new,74
423,get,71
709,vote,68
320,today,68
908,crooked,62
25,medium,60
93,country,59
14,big,57
300,president,55
28,election,53
341,back,52
204,watch,51
50,never,51
23,news,50
16,tonight,47
174,many,47
140,win,47
36,bad,45
305,penny,45
87,would,44
191,tomorrow,44
37,one,43
568,last,43
211,said,41
732,together,41
86,rally,40
675,mike,39
587,state,38
49,like,37
156,day,37
589,c,35
796,night,35
22,fake,35
776,movement,34
360,live,34
0,enjoy,34
5,poll,33
291,campaign,32
439,support,31
359,north,31
114,even,31
31,first,29
19,much,29
631,world,29
239,must,28
124,need,27
33,failing,26
189,see,26
634,safe,25
75,national,24
190,soon,24
543,nothing,24
504,wow,24
260,united,24
330,know,24
380,way,24
83,million,24
214,look,23
20,russia,23
659,let,23
201,dishonest,23
132,job,23
314,wonderful,22
125,p,22
987,go,22
34,take,22
454,terrible,21
497,want,21
151,general,21
486,total,21
8,meeting,21
67,business,21
362,good,20
231,made,20
61,well,20
338,two,20
18,house,20
307,deal,20
267,morning,19
461,wrong,19
1434,colorado,19
679,change,19
223,bill,18
164,working,18
111,security,18
47,totally,18
232,far,18
677,massive,18
155,happy,18
566,hard,18
561,really,18
72,tax,18
926,michigan,18
209,nice,18
613,work,18
57,year,17
195,ever,17
118,looking,17
17,white,17
21,talk,17
229,lost,16
136,say,16
1026,disaster,16
177,speech,16
218,repeal,16
62,evening,16
488,making,16
113,long,16
803,elect,15
831,report,15
244,winning,15
26,order,15
179,believe,15
134,amazing,15
192,crowd,15
230,badly,15
682,better,15
453,right,15
418,office,15
74,coming,15
451,always,15
98,fight,15
119,forward,15
115,interview,14
60,everyone,14
112,government,14
319,minister,14
715,voter,14
254,w,14
337,run,14
668,got,14
171,story,14
228,come,14
122,yesterday,14
133,done,14
545,keep,14
572,gave,14
299,replace,14
248,plan,13
24,put,13
471,incredible,13
511,cannot,13
163,immigration,13
271,intelligence,13
198,agree,13
769,bring,13
780,family,13
562,governor,13
318,prime,13
739,top,13
130,history,13
340,heading,13
662,remember,13
383,wall,13
38,help,13
135,thing,12
482,worse,12
390,system,12
183,mess,12
645,presidential,12
30,illegal,12
691,pay,12
456,leadership,12
457,true,12
651,strong,12
707,next,12
382,border,12
401,saying,12
306,secretary,12
157,give,12
533,law,12
879,beautiful,11
1009,fact,11
567,love,11
888,hacking,11
798,thanks,11
604,hope,11
609,important,11
489,call,11
466,full,11
399,major,11
334,taking,11
370,truly,11
275,administration,11
998,money,11
97,sad,11
186,getting,11
431,lie,10
54,republican,10
351,court,10
642,instead,10
1388,team,10
689,afternoon,10
268,real,10
716,fraud,10
627,week,10
110,stop,10
426,place,10
274,taken,10
1275,watching,10
1105,foundation,10
392,since,10
822,military,10
479,act,10
250,political,10
762,every,10
470,honor,10
309,care,10
1416,unbelievable,10
152,h,10
168,statement,10
779,special,10
55,party,10
648,weak,9
66,future,9
623,small,9
323,leaving,9
669,beginning,9
681,final,9
52,could,9
724,ford,9
169,happening,9
755,respect,9
761,another,9
311,protect,9
308,n,9
301,j,9
243,high,9
455,police,9
1596,economy,9
429,talking,9
1012,le,9
400,china,9
178,lot,9
928,plant,9
518,show,9
521,best,9
441,ban,9
584,man,9
196,seen,9
910,victory,9
187,ready,9
984,secret,9
199,yet,9
236,life,9
386,thought,9
460,horrible,9
104,classified,9
6,via,9
1655,pro,8
91,truth,8
1610,center,8
760,fantastic,8
433,service,8
477,middle,8
529,anyone,8
1551,endorsement,8
713,voting,8
534,enforcement,8
342,japan,8
367,still,8
39,save,8
70,record,8
1428,corrupt,8
621,create,8
378,force,8
377,air,8
581,chief,8
641,focus,8
414,decision,8
1456,server,8
79,billion,8
535,away,8
678,trade,8
384,cost,8
531,coverage,8
685,policy,8
292,crazy,8
194,press,8
253,met,8
210,conference,8
1173,e,8
904,tower,8
1190,foreign,8
9,leading,8
1125,presidency,8
966,think,8
821,also,8
182,running,8
1078,exciting,8
848,oh,8
206,play,8
672,lose,7
1160,official,7
792,bush,7
344,sander,7
835,twitter,7
249,allow,7
240,apologize,7
138,lead,7
1101,four,7
1308,department,7
1091,end,7
289,cover,7
1063,nuclear,7
1072,used,7
980,defense,7
106,given,7
442,popular,7
475,radical,7
207,three,7
435,told,7
434,judge,7
94,become,7
1067,happen,7
505,continue,7
508,check,7
963,without,7
538,longer,7
544,little,7
834,use,7
143,actually,7
723,inauguration,7
1170,page,7
161,large,7
767,simple,7
158,public,7
719,fix,7
718,build,7
280,politics,7
784,fighting,7
750,watched,7
597,dumb,6
1233,grand,6
88,biggest,6
407,entire,6
552,point,6
404,spoke,6
606,supreme,6
565,tried,6
238,problem,6
71,close,6
570,came,6
281,serious,6
527,may,6
601,ago,6
1245,york,6
1057,affordable,6
270,illegally,6
1034,podesta,6
1232,la,6
786,stated,6
450,person,6
1006,exclusive,6
1540,tune,6
467,cabinet,6
982,stay,6
473,terror,6
981,birthday,6
481,poor,6
771,forgotten,6
154,video,6
491,based,6
215,despite,6
153,r,6
893,nominee,6
516,prior,6
173,concerning,6
671,false,6
680,seeing,6
1136,tremendous,6
867,crime,6
1374,hear,6
58,please,6
167,interesting,6
1169,mobile,6
1147,navy,6
105,information,6
1133,interest,6
1151,electoral,6
688,pa,6
51,chance,6
1303,attack,6
141,angry,6
45,chairman,6
335,smart,6
366,daughter,6
1127,answer,6
1287,carrier,6
373,beach,6
630,part,6
1623,league,6
11,health,5
797,around,5
849,worst,5
770,wealth,5
1152,college,5
772,moment,5
777,joining,5
800,past,5
748,express,5
474,threat,5
1310,nobody,5
1111,spending,5
29,defeat,5
472,men,5
706,pick,5
48,guy,5
44,race,5
462,case,5
708,registered,5
1419,stand,5
1005,hacked,5
459,speaking,5
999,spent,5
895,senate,5
969,loss,5
1506,noon,5
1234,mi,5
1226,took,5
573,line,5
576,notice,5
873,action,5
1447,criminal,5
644,former,5
1462,camp,5
646,graham,5
714,investigation,5
1180,magazine,5
1184,west,5
940,successful,5
1083,wife,5
945,saw,5
946,highly,5
960,perhaps,5
863,bigger,5
828,woman,5
825,phony,5
517,game,5
65,optimism,5
852,complete,5
766,follow,5
850,funny,5
632,senator,5
503,b,5
890,turn,5
498,extreme,5
117,council,5
424,start,5
257,international,5
202,enemy,5
376,f,5
