"","year","state","candidate","party","votes"
"169",2016,"Alabama","Donald Trump","republican",6293
"202",2016,"Alabama","Donald Trump","republican",4500
"209",2016,"Alabama","Donald Trump","republican",5021
"215",2016,"Alabama","Donald Trump","republican",4016
"229",2016,"Alabama","Donald Trump","republican",4532
"1897",2016,"Alabama","Donald Trump","republican",4275
"2155",2016,"Alabama","Donald Trump","republican",4401
"2268",2016,"Alabama","Donald Trump","republican",3929
"2480",2016,"Alabama","Hillary Clinton","democratic",3984
"2598",2016,"Alabama","Donald Trump","republican",4406
"2743",2016,"Alabama","Donald Trump","republican",5052
"3436",2016,"Alabama","Donald Trump","republican",3882
"3556",2016,"Alabama","Donald Trump","republican",5234
"3573",2016,"Alabama","Donald Trump","republican",4364
"5811",2016,"Arizona","Donald Trump","republican",4052
"5816",2016,"Arizona","Donald Trump","republican",4805
"5884",2016,"Arizona","Donald Trump","republican",3888
"5982",2016,"Arizona","Donald Trump","republican",5989
"6277",2016,"Arizona","Donald Trump","republican",4747
"6505",2016,"Arizona","Donald Trump","republican",3875
"6833",2016,"Arizona","Donald Trump","republican",6242
"6843",2016,"Arizona","Donald Trump","republican",4032
"6844",2016,"Arizona","Donald Trump","republican",9446
"7248",2016,"Arizona","Donald Trump","republican",3896
"9617",2016,"Arkansas","Donald Trump","republican",4777
"9618",2016,"Arkansas","VOTE FOR ALL","",4938
"11148",2016,"California","Evan McMullin","",4607
"11149",2016,"California","Bernie Sanders","",7724
"11548",2016,"California","Bernie Sanders","",4551
"15454",2016,"Connecticut","Donald Trump","republican",4685
"15624",2016,"Connecticut","Hillary Clinton","democratic",4874
"16859",2016,"District of Columbia","Hillary Clinton","democratic",3874
"16875",2016,"District of Columbia","Hillary Clinton","democratic",4427
"16950",2016,"District of Columbia","Hillary Clinton","democratic",4290
"17680",2016,"Florida","Donald Trump","republican",4270
"18595",2016,"Florida","Hillary Clinton","democratic",3942
"18792",2016,"Florida","Donald Trump","republican",4519
"19484",2016,"Florida","Donald Trump","republican",3962
"19997",2016,"Florida","Donald Trump","republican",4091
"20231",2016,"Florida","Donald Trump","republican",3898
"20806",2016,"Florida","Hillary Clinton","democratic",4201
"20823",2016,"Florida","Hillary Clinton","democratic",5475
"20828",2016,"Florida","Hillary Clinton","democratic",4294
"20961",2016,"Florida","Donald Trump","republican",4483
"21141",2016,"Florida","Donald Trump","republican",3987
"21149",2016,"Florida","Donald Trump","republican",5082
"21173",2016,"Florida","Donald Trump","republican",4419
"21280",2016,"Florida","Donald Trump","republican",4538
"21309",2016,"Florida","Hillary Clinton","democratic",4085
"21310",2016,"Florida","Donald Trump","republican",4315
"21319",2016,"Florida","Donald Trump","republican",4637
"21371",2016,"Florida","Donald Trump","republican",5021
"21374",2016,"Florida","Donald Trump","republican",4275
"23057",2016,"Georgia","Donald Trump","",4415
"23450",2016,"Georgia","Donald Trump","",5325
"23470",2016,"Georgia","Donald Trump","",6737
"23481",2016,"Georgia","Donald Trump","",4357
"23494",2016,"Georgia","Donald Trump","",4398
"23876",2016,"Georgia","Hillary Clinton","",4849
"23878",2016,"Georgia","Donald Trump","",4799
"23888",2016,"Georgia","Donald Trump","",7056
"23997",2016,"Georgia","Donald Trump","",4533
"24029",2016,"Georgia","Donald Trump","",5748
"26411",2016,"Idaho","Donald Trump","republican",4344
"26417",2016,"Idaho","Donald Trump","republican",5017
"34980",2016,"Kentucky","Hillary Clinton","",4123
"36492",2016,"Louisiana","Donald Trump","republican",4857
"36643",2016,"Louisiana","Hillary Clinton","democratic",4477
"36646",2016,"Louisiana","Donald Trump","republican",7963
"36991",2016,"Louisiana","Donald Trump","republican",9094
"37064",2016,"Louisiana","Hillary Clinton","democratic",7904
"37067",2016,"Louisiana","Donald Trump","republican",7735
"37238",2016,"Louisiana","Hillary Clinton","democratic",5677
"37241",2016,"Louisiana","Donald Trump","republican",13597
"37389",2016,"Louisiana","Hillary Clinton","democratic",25027
"37392",2016,"Louisiana","Donald Trump","republican",21560
"37595",2016,"Louisiana","Donald Trump","republican",6029
"37631",2016,"Louisiana","Hillary Clinton","democratic",16553
"37634",2016,"Louisiana","Donald Trump","republican",18279
"37741",2016,"Louisiana","Hillary Clinton","democratic",5488
"37744",2016,"Louisiana","Donald Trump","republican",12564
"37805",2016,"Louisiana","Donald Trump","republican",8635
"37841",2016,"Louisiana","Donald Trump","republican",16166
"37879",2016,"Louisiana","Hillary Clinton","democratic",43073
"37882",2016,"Louisiana","Donald Trump","republican",6357
"37924",2016,"Louisiana","Hillary Clinton","democratic",6515
"37927",2016,"Louisiana","Donald Trump","republican",14542
"37965",2016,"Louisiana","Hillary Clinton","democratic",5049
"37968",2016,"Louisiana","Donald Trump","republican",9918
"38000",2016,"Louisiana","Donald Trump","republican",5043
"38031",2016,"Louisiana","Donald Trump","republican",5394
"38040",2016,"Louisiana","Donald Trump","republican",4798
"38043",2016,"Louisiana","Hillary Clinton","democratic",10664
"38046",2016,"Louisiana","Donald Trump","republican",32109
"38077",2016,"Louisiana","Donald Trump","republican",7668
"38092",2016,"Louisiana","Donald Trump","republican",7661
"38106",2016,"Louisiana","Donald Trump","republican",5024
