"","year","state","candidate","party_simplified","candidatevotes","totalvotes"
"1",1976,"ALABAMA","CARTER, JIMMY","DEMOCRAT",659170,1182850
"2",1976,"ALABAMA","FORD, GERALD","REPUBLICAN",504070,1182850
"3",1976,"ALABAMA","MADDOX, LESTER","OTHER",9198,1182850
"4",1976,"ALABAMA","BUBAR, BENJAMIN """"BEN""""","OTHER",6669,1182850
"5",1976,"ALABAMA","HALL, GUS","OTHER",1954,1182850
"6",1976,"ALABAMA","MACBRIDE, ROGER","LIBERTARIAN",1481,1182850
"7",1976,"ALABAMA","","OTHER",308,1182850
"8",1976,"ALASKA","FORD, GERALD","REPUBLICAN",71555,123574
"9",1976,"ALASKA","CARTER, JIMMY","DEMOCRAT",44058,123574
"10",1976,"ALASKA","MACBRIDE, ROGER","LIBERTARIAN",6785,123574
"11",1976,"ALASKA","","OTHER",1176,123574
"12",1976,"ARIZONA","FORD, GERALD","REPUBLICAN",418642,742719
"13",1976,"ARIZONA","CARTER, JIMMY","DEMOCRAT",295602,742719
"14",1976,"ARIZONA","MCCARTHY, EUGENE """"GENE""""","OTHER",19229,742719
"15",1976,"ARIZONA","MACBRIDE, ROGER","LIBERTARIAN",7647,742719
"16",1976,"ARIZONA","CAMEJO, PETER","OTHER",928,742719
"17",1976,"ARIZONA","ANDERSON, THOMAS J.","OTHER",564,742719
"18",1976,"ARIZONA","MADDOX, LESTER","OTHER",85,742719
"19",1976,"ARIZONA","","OTHER",22,742719
"20",1976,"ARKANSAS","CARTER, JIMMY","DEMOCRAT",498604,767535
"21",1976,"ARKANSAS","FORD, GERALD","REPUBLICAN",267903,767535
"22",1976,"ARKANSAS","","OTHER",639,767535
"23",1976,"ARKANSAS","MADDOX, LESTER","OTHER",389,767535
"24",1976,"CALIFORNIA","FORD, GERALD","REPUBLICAN",3882244,7803770
"25",1976,"CALIFORNIA","CARTER, JIMMY","DEMOCRAT",3742284,7803770
"26",1976,"CALIFORNIA","MACBRIDE, ROGER","OTHER",56388,7803770
"27",1976,"CALIFORNIA","MADDOX, LESTER","OTHER",51098,7803770
"28",1976,"CALIFORNIA","WRIGHT, MARGARET","OTHER",41731,7803770
"29",1976,"CALIFORNIA","CAMEJO, PETER","OTHER",17259,7803770
"30",1976,"CALIFORNIA","HALL, GUS","OTHER",12766,7803770
"31",1976,"COLORADO","FORD, GERALD","REPUBLICAN",584278,1081440
"32",1976,"COLORADO","CARTER, JIMMY","DEMOCRAT",460801,1081440
"33",1976,"COLORADO","MCCARTHY, EUGENE """"GENE""""","OTHER",26047,1081440
"34",1976,"COLORADO","MACBRIDE, ROGER","LIBERTARIAN",5338,1081440
"35",1976,"COLORADO","BUBAR, BENJAMIN """"BEN""""","OTHER",2886,1081440
"36",1976,"COLORADO","CAMEJO, PETER","OTHER",1122,1081440
"37",1976,"COLORADO","LAROUCHE, LYNDON, JR.","OTHER",565,1081440
"38",1976,"COLORADO","HALL, GUS","OTHER",403,1081440
"39",1976,"CONNECTICUT","FORD, GERALD","REPUBLICAN",719261,1386355
"40",1976,"CONNECTICUT","CARTER, JIMMY","DEMOCRAT",647895,1386355
"41",1976,"CONNECTICUT","SCATTERING","OTHER",10309,1386355
"42",1976,"CONNECTICUT","MADDOX, LESTER","OTHER",7101,1386355
"43",1976,"CONNECTICUT","LAROUCHE, LYNDON, JR.","OTHER",1789,1386355
"44",1976,"DELAWARE","CARTER, JIMMY","DEMOCRAT",122461,235642
"45",1976,"DELAWARE","FORD, GERALD","REPUBLICAN",109780,235642
"46",1976,"DELAWARE","","OTHER",2432,235642
"47",1976,"DELAWARE","ANDERSON, THOMAS J.","OTHER",645,235642
"48",1976,"DELAWARE","LAROUCHE, LYNDON, JR.","OTHER",135,235642
"49",1976,"DELAWARE","BUBAR, BENJAMIN """"BEN""""","OTHER",103,235642
"50",1976,"DELAWARE","","OTHER",86,235642
"51",1976,"DISTRICT OF COLUMBIA","CARTER, JIMMY","DEMOCRAT",137818,168830
"52",1976,"DISTRICT OF COLUMBIA","FORD, GERALD","REPUBLICAN",27873,168830
"53",1976,"DISTRICT OF COLUMBIA","OTHER","OTHER",1656,168830
"54",1976,"DISTRICT OF COLUMBIA","","OTHER",1195,168830
"55",1976,"DISTRICT OF COLUMBIA","","OTHER",288,168830
"56",1976,"FLORIDA","CARTER, JIMMY","DEMOCRAT",1636000,3150631
"57",1976,"FLORIDA","FORD, GERALD","REPUBLICAN",1469531,3150631
"58",1976,"FLORIDA","MCCARTHY, EUGENE """"GENE""""","OTHER",23643,3150631
"59",1976,"FLORIDA","ANDERSON, THOMAS J.","OTHER",21325,3150631
"60",1976,"FLORIDA","","OTHER",132,3150631
"61",1976,"GEORGIA","CARTER, JIMMY","DEMOCRAT",979409,1463152
